,Town,Age Group,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
0,Address pending validation,15-44,,,1418,,743,,04/21/2021
1,Address pending validation,45-64,,,1620,,974,,04/21/2021
2,Address pending validation,65+,,,903,,699,,04/21/2021
3,Andover,15-44,No,1106.0,386,34.9,156,14.1,04/21/2021
4,Andover,45-64,No,1217.0,802,65.9,513,42.15,04/21/2021
5,Andover,65+,No,421.0,473,100.0,433,100.0,04/21/2021
6,Ansonia,15-44,Yes,7532.0,2061,27.36,882,11.71,04/21/2021
7,Ansonia,45-64,Yes,5365.0,2977,55.49,1668,31.09,04/21/2021
8,Ansonia,65+,Yes,2535.0,1994,78.66,1610,63.51,04/21/2021
9,Ashford,15-44,No,1537.0,497,32.34,207,13.47,04/21/2021
10,Ashford,45-64,No,1456.0,848,58.24,567,38.94,04/21/2021
11,Ashford,65+,No,572.0,674,100.0,601,100.0,04/21/2021
12,Avon,15-44,No,5426.0,3372,62.15,1352,24.92,04/21/2021
13,Avon,45-64,No,5968.0,4784,80.16,3393,56.85,04/21/2021
14,Avon,65+,No,3446.0,3502,100.0,3258,94.54,04/21/2021
15,Barkhamsted,15-44,No,1103.0,405,36.72,186,16.86,04/21/2021
16,Barkhamsted,45-64,No,1386.0,821,59.24,579,41.77,04/21/2021
17,Barkhamsted,65+,No,616.0,663,100.0,608,98.7,04/21/2021
18,Beacon Falls,15-44,No,2191.0,826,37.7,377,17.21,04/21/2021
19,Beacon Falls,45-64,No,1929.0,1195,61.95,745,38.62,04/21/2021
20,Beacon Falls,65+,No,951.0,1028,100.0,908,95.48,04/21/2021
21,Berlin,15-44,No,6538.0,2961,45.29,1420,21.72,04/21/2021
22,Berlin,45-64,No,6790.0,4349,64.05,3079,45.35,04/21/2021
23,Berlin,65+,No,4012.0,4033,100.0,3704,92.32,04/21/2021
24,Bethany,15-44,No,1640.0,863,52.62,401,24.45,04/21/2021
25,Bethany,45-64,No,2135.0,1343,62.9,899,42.11,04/21/2021
26,Bethany,65+,No,866.0,941,100.0,849,98.04,04/21/2021
27,Bethel,15-44,No,6913.0,2834,41.0,1060,15.33,04/21/2021
28,Bethel,45-64,No,6259.0,3984,63.65,2369,37.85,04/21/2021
29,Bethel,65+,No,2874.0,2314,80.51,1985,69.07,04/21/2021
30,Bethlehem,15-44,No,1011.0,346,34.22,165,16.32,04/21/2021
31,Bethlehem,45-64,No,1390.0,648,46.62,412,29.64,04/21/2021
32,Bethlehem,65+,No,646.0,662,100.0,553,85.6,04/21/2021
33,Bloomfield,15-44,No,6503.0,2342,36.01,1084,16.67,04/21/2021
34,Bloomfield,45-64,No,6268.0,3832,61.14,2711,43.25,04/21/2021
35,Bloomfield,65+,No,5199.0,5262,100.0,4642,89.29,04/21/2021
36,Bolton,15-44,No,1597.0,728,45.59,326,20.41,04/21/2021
37,Bolton,45-64,No,1723.0,1045,60.65,677,39.29,04/21/2021
38,Bolton,65+,No,850.0,867,100.0,785,92.35,04/21/2021
39,Bozrah,15-44,No,887.0,254,28.64,136,15.33,04/21/2021
40,Bozrah,45-64,No,902.0,503,55.76,372,41.24,04/21/2021
41,Bozrah,65+,No,427.0,481,100.0,443,100.0,04/21/2021
42,Branford,15-44,No,9118.0,4191,45.96,1916,21.01,04/21/2021
43,Branford,45-64,No,9359.0,6284,67.14,4345,46.43,04/21/2021
44,Branford,65+,No,6079.0,6219,100.0,5697,93.72,04/21/2021
45,Bridgeport,15-44,Yes,67655.0,13083,19.34,5751,8.5,04/21/2021
46,Bridgeport,45-64,Yes,34783.0,18731,53.85,10947,31.47,04/21/2021
47,Bridgeport,65+,Yes,15163.0,12628,83.28,10277,67.78,04/21/2021
48,Bridgewater,15-44,No,372.0,185,49.73,79,21.24,04/21/2021
49,Bridgewater,45-64,No,635.0,421,66.3,259,40.79,04/21/2021
50,Bridgewater,65+,No,474.0,426,89.87,380,80.17,04/21/2021
51,Bristol,15-44,Yes,23116.0,7681,33.23,3671,15.88,04/21/2021
52,Bristol,45-64,Yes,17083.0,10576,61.91,6751,39.52,04/21/2021
53,Bristol,65+,Yes,9960.0,8879,89.15,7727,77.58,04/21/2021
54,Brookfield,15-44,No,5626.0,2413,42.89,1041,18.5,04/21/2021
55,Brookfield,45-64,No,5665.0,3823,67.48,2334,41.2,04/21/2021
56,Brookfield,65+,No,2746.0,2818,100.0,2468,89.88,04/21/2021
57,Brooklyn,15-44,No,3144.0,762,24.24,383,12.18,04/21/2021
58,Brooklyn,45-64,No,2471.0,1331,53.86,937,37.92,04/21/2021
59,Brooklyn,65+,No,1310.0,1317,100.0,1197,91.37,04/21/2021
